Index,Process,Time,Temp,Current,Date
1,1,오후 4:24:07.0,75.08489761472396,1.528,2021-10-26
2,1,오후 4:24:12.0,73.47081535284565,1.489,2021-10-26
3,1,오후 4:24:17.0,73.84317473479867,1.7,2021-10-26
4,1,오후 4:24:22.0,77.18546553761685,1.664,2021-10-26
5,1,오후 4:24:27.0,74.55671042933152,1.672,2021-10-26
6,1,오후 4:24:32.0,76.93957562396797,1.748,2021-10-26
7,1,오후 4:24:37.0,74.01093857044455,1.689,2021-10-26
8,1,오후 4:24:42.0,72.19333628680197,1.743,2021-10-26
9,1,오후 4:24:47.0,74.28386418628695,1.676,2021-10-26
10,1,오후 4:24:52.0,74.3394548018018,1.634,2021-10-26
11,1,오후 4:24:57.0,71.49933688835523,1.682,2021-10-26
12,1,오후 4:25:02.0,71.81608582210924,1.683,2021-10-26
13,1,오후 4:25:07.0,72.20403500015834,1.619,2021-10-26
14,1,오후 4:25:12.0,71.87178422074807,1.626,2021-10-26
15,1,오후 4:25:17.0,72.49957940787253,1.634,2021-10-26
16,1,오후 4:25:22.0,73.86391347156295,1.627,2021-10-26
17,1,오후 4:25:27.0,70.9081485396546,1.641,2021-10-26
18,1,오후 4:25:32.0,71.66209655792429,1.672,2021-10-26
19,1,오후 4:25:37.0,68.01093857044455,1.605,2021-10-26
20,1,오후 4:25:42.0,68.19333628680197,1.623,2021-10-26
21,1,오후 4:25:47.0,69.28386418628695,1.539,2021-10-26
22,1,오후 4:25:52.1,69.3394548018018,1.544,2021-10-26
23,1,오후 4:25:57.1,68.49933688835523,1.568,2021-10-26
24,1,오후 4:26:02.1,70.81608582210924,1.57,2021-10-26
25,1,오후 4:26:07.1,68.04198315231801,1.551,2021-10-26
26,1,오후 4:26:12.1,69.31247367223635,1.603,2021-10-26
27,1,오후 4:26:17.1,66.53366359223965,1.54,2021-10-26
28,1,오후 4:26:22.1,66.74042366970423,1.569,2021-10-26
29,1,오후 4:26:27.1,68.04518510357609,1.506,2021-10-26
30,1,오후 4:26:32.1,67.47249049518311,1.511,2021-10-26
31,1,오후 4:26:37.1,67.01093857044455,1.54,2021-10-26
32,1,오후 4:26:42.1,64.19333628680197,1.527,2021-10-26
33,1,오후 4:26:47.1,66.28386418628695,1.517,2021-10-26
34,1,오후 4:26:52.1,64.3394548018018,1.452,2021-10-26
35,1,오후 4:26:57.1,67.49933688835523,1.5,2021-10-26
36,1,오후 4:27:02.1,67.81608582210924,1.456,2021-10-26
37,2,오후 4:27:28.1,75.00784572726687,1.528,2021-10-26
38,2,오후 4:27:33.1,75.11937724252256,1.535,2021-10-26
39,2,오후 4:27:38.1,74.12181233844662,1.698,2021-10-26
40,2,오후 4:27:43.1,76.06197573575812,1.701,2021-10-26
41,2,오후 4:27:48.1,74.0864964282445,1.678,2021-10-26
42,2,오후 4:27:53.1,73.25677527359753,1.722,2021-10-26
43,2,오후 4:27:58.2,74.08489761472396,1.677,2021-10-26
44,2,오후 4:28:03.2,73.47081535284565,1.659,2021-10-26
45,2,오후 4:28:08.2,74.84317473479867,1.677,2021-10-26
46,2,오후 4:28:13.2,72.18546553761685,1.664,2021-10-26
47,2,오후 4:28:18.2,75.55671042933152,1.695,2021-10-26
48,2,오후 4:28:23.2,74.93957562396797,1.634,2021-10-26
49,2,오후 4:28:28.2,72.13914228339809,1.711,2021-10-26
50,2,오후 4:28:33.2,70.66042141558682,1.697,2021-10-26
51,2,오후 4:28:38.2,71.1776601448583,1.633,2021-10-26
52,2,오후 4:28:43.2,71.58643440551927,1.6,2021-10-26
53,2,오후 4:28:48.2,73.87710395778115,1.611,2021-10-26
54,2,오후 4:28:53.2,73.01353466824737,1.62,2021-10-26
55,2,오후 4:28:58.2,69.13914228339809,1.673,2021-10-26
56,2,오후 4:29:03.2,71.66042141558682,1.653,2021-10-26
57,2,오후 4:29:08.2,70.1776601448583,1.565,2021-10-26
58,2,오후 4:29:13.2,69.58643440551927,1.623,2021-10-26
59,2,오후 4:29:18.2,69.87710395778115,1.589,2021-10-26
60,2,오후 4:29:23.2,71.01353466824737,1.575,2021-10-26
61,2,오후 4:29:28.2,68.04198315231801,1.582,2021-10-26
62,2,오후 4:29:33.2,66.31247367223635,1.608,2021-10-26
63,2,오후 4:29:38.2,66.53366359223965,1.54,2021-10-26
64,2,오후 4:29:43.2,69.74042366970423,1.501,2021-10-26
65,2,오후 4:29:48.3,70.04518510357609,1.505,2021-10-26
66,2,오후 4:29:53.3,67.47249049518311,1.579,2021-10-26
67,2,오후 4:29:58.3,64.01093857044455,1.586,2021-10-26
68,2,오후 4:30:03.3,64.19333628680197,1.527,2021-10-26
69,2,오후 4:30:08.3,65.28386418628695,1.448,2021-10-26
70,2,오후 4:30:13.3,67.3394548018018,1.452,2021-10-26
71,2,오후 4:30:18.3,65.49933688835523,1.478,2021-10-26
72,2,오후 4:30:23.3,64.81608582210924,1.524,2021-10-26
73,3,오후 4:30:50.3,80.44526103951439,1.6101659056768247,2021-10-26
74,3,오후 4:30:55.3,73.31247367223635,1.466,2021-10-26
75,3,오후 4:31:00.3,73.53366359223965,1.677,2021-10-26
76,3,오후 4:31:05.3,75.74042366970423,1.66,2021-10-26
77,3,오후 4:31:10.3,74.04518510357609,1.665,2021-10-26
78,3,오후 4:31:15.4,74.47249049518311,1.715,2021-10-26
79,3,오후 4:31:20.4,71.01093857044455,1.677,2021-10-26
80,3,오후 4:31:25.4,71.19333628680197,1.687,2021-10-26
81,3,오후 4:31:30.4,73.28386418628695,1.608,2021-10-26
82,3,오후 4:31:35.4,73.09060932615837,1.6515694234152107,2021-10-26
83,3,오후 4:31:40.4,73.49933688835523,1.659,2021-10-26
