Index,Process,Time,Temp,Current,Date
1,1,오후 4:21:54.0,75.01093857044455,1.513,2021-10-07
2,1,오후 4:21:59.0,73.19333628680197,1.562,2021-10-07
3,1,오후 4:22:04.0,74.28386418628695,1.698,2021-10-07
4,1,오후 4:22:09.0,73.3394548018018,1.657,2021-10-07
5,1,오후 4:22:14.0,74.49933688835523,1.682,2021-10-07
6,1,오후 4:22:19.0,76.81608582210924,1.661,2021-10-07
7,1,오후 4:22:24.0,74.04198315231801,1.687,2021-10-07
8,1,오후 4:22:29.0,71.31247367223635,1.739,2021-10-07
9,1,오후 4:22:34.0,71.53366359223965,1.677,2021-10-07
10,1,오후 4:22:39.0,71.74042366970423,1.614,2021-10-07
11,1,오후 4:22:44.0,75.04518510357609,1.619,2021-10-07
12,1,오후 4:22:49.0,73.47249049518311,1.624,2021-10-07
13,1,오후 4:22:54.0,69.13914228339809,1.7,2021-10-07
14,1,오후 4:22:59.0,72.66042141558682,1.664,2021-10-07
15,1,오후 4:23:04.0,72.1776601448583,1.565,2021-10-07
16,1,오후 4:23:09.0,73.58643440551927,1.645,2021-10-07
17,1,오후 4:23:14.0,72.87710395778115,1.634,2021-10-07
18,1,오후 4:23:19.0,74.01353466824737,1.666,2021-10-07
19,1,오후 4:23:24.0,70.00784572726687,1.65,2021-10-07
20,1,오후 4:23:29.0,71.11937724252256,1.676,2021-10-07
21,1,오후 4:23:34.0,68.12181233844662,1.585,2021-10-07
22,1,오후 4:23:39.0,71.06197573575812,1.61,2021-10-07
23,1,오후 4:23:44.0,71.0864964282445,1.542,2021-10-07
24,1,오후 4:23:49.1,68.25677527359753,1.609,2021-10-07
25,1,오후 4:23:54.1,72.90638469684575,1.747212862536552,2021-10-07
26,1,오후 4:23:59.1,69.66042141558682,1.545,2021-10-07
27,1,오후 4:24:04.1,67.1776601448583,1.519,2021-10-07
28,1,오후 4:24:09.1,69.58643440551927,1.576,2021-10-07
29,1,오후 4:24:14.1,70.87710395778115,1.52,2021-10-07
30,1,오후 4:24:19.1,68.01353466824737,1.575,2021-10-07
31,1,오후 4:24:24.1,64.20403500015834,1.605,2021-10-07
