Index,Process,Time,Temp,Current,Date
1,1,오후 4:29:26.0,75.01093857044455,1.527,2021-10-19
2,1,오후 4:29:31.0,75.19333628680197,1.512,2021-10-19
3,1,오후 4:29:36.0,75.28386418628695,1.698,2021-10-19
4,1,오후 4:29:41.0,74.3394548018018,1.703,2021-10-19
5,1,오후 4:29:46.0,75.49933688835523,1.705,2021-10-19
6,1,오후 4:29:51.0,75.81608582210924,1.683,2021-10-19
7,1,오후 4:29:56.0,72.08489761472396,1.71,2021-10-19
8,1,오후 4:30:01.0,74.47081535284565,1.717,2021-10-19
9,1,오후 4:30:06.0,73.84317473479867,1.632,2021-10-19
10,1,오후 4:30:11.0,73.18546553761685,1.686,2021-10-19
11,1,오후 4:30:16.0,72.55671042933152,1.672,2021-10-19
12,1,오후 4:30:21.0,72.93957562396797,1.657,2021-10-19
13,1,오후 4:30:26.0,71.00784572726687,1.643,2021-10-19
14,1,오후 4:30:31.0,69.11937724252256,1.652,2021-10-19
15,1,오후 4:30:36.0,71.12181233844662,1.608,2021-10-19
16,1,오후 4:30:41.0,69.06197573575812,1.564,2021-10-19
17,1,오후 4:30:46.0,70.0864964282445,1.61,2021-10-19
18,1,오후 4:30:51.1,72.25677527359753,1.563,2021-10-19
19,1,오후 4:30:56.1,69.20403500015834,1.586,2021-10-19
20,1,오후 4:31:01.1,69.87178422074807,1.635,2021-10-19
21,1,오후 4:31:06.1,71.49957940787253,1.567,2021-10-19
22,1,오후 4:31:11.1,71.86391347156295,1.582,2021-10-19
23,1,오후 4:31:16.1,70.9081485396546,1.619,2021-10-19
24,1,오후 4:31:21.1,70.66209655792429,1.627,2021-10-19
25,1,오후 4:31:26.1,67.20403500015834,1.605,2021-10-19
26,1,오후 4:31:31.1,66.87178422074807,1.6,2021-10-19
27,1,오후 4:31:36.1,68.49957940787253,1.521,2021-10-19
28,1,오후 4:31:41.1,70.86391347156295,1.513,2021-10-19
29,1,오후 4:31:46.1,67.9081485396546,1.55,2021-10-19
30,1,오후 4:31:51.1,70.66209655792429,1.604,2021-10-19
31,1,오후 4:31:56.1,64.04198315231801,1.537,2021-10-19
32,1,오후 4:32:01.1,64.31247367223635,1.599,2021-10-19
33,1,오후 4:32:06.1,65.53366359223965,1.449,2021-10-19
34,1,오후 4:32:11.1,64.74042366970423,1.455,2021-10-19
35,1,오후 4:32:16.1,68.04518510357609,1.483,2021-10-19
36,1,오후 4:32:21.1,66.47249049518311,1.465,2021-10-19
37,2,오후 4:32:47.0,73.08489761472396,1.54,2021-10-19
38,2,오후 4:32:52.0,73.47081535284565,1.504,2021-10-19
39,2,오후 4:32:57.0,73.84317473479867,1.655,2021-10-19
40,2,오후 4:33:02.0,77.18546553761685,1.664,2021-10-19
41,2,오후 4:33:07.0,76.55671042933152,1.672,2021-10-19
42,2,오후 4:33:12.0,74.93957562396797,1.749,2021-10-19
43,2,오후 4:33:17.0,74.01093857044455,1.733,2021-10-19
44,2,오후 4:33:22.0,71.19333628680197,1.697,2021-10-19
45,2,오후 4:33:27.0,74.28386418628695,1.676,2021-10-19
46,2,오후 4:33:32.0,72.3394548018018,1.612,2021-10-19
47,2,오후 4:33:37.0,71.49933688835523,1.682,2021-10-19
48,2,오후 4:33:42.0,71.81608582210924,1.637,2021-10-19
49,2,오후 4:33:47.1,70.01093857044455,1.619,2021-10-19
50,2,오후 4:33:52.1,71.19333628680197,1.626,2021-10-19
51,2,오후 4:33:57.1,70.28386418628695,1.585,2021-10-19
52,2,오후 4:34:02.1,71.3394548018018,1.611,2021-10-19
53,2,오후 4:34:07.1,72.49933688835523,1.591,2021-10-19
54,2,오후 4:34:12.1,72.81608582210924,1.615,2021-10-19
55,2,오후 4:34:17.1,68.08489761472396,1.641,2021-10-19
56,2,오후 4:34:22.1,77.47261103763603,1.8389353133715431,2021-10-19
57,2,오후 4:34:27.1,71.84317473479867,1.541,2021-10-19
58,2,오후 4:34:32.1,70.18546553761685,1.572,2021-10-19
59,2,오후 4:34:37.1,71.55671042933152,1.626,2021-10-19
60,2,오후 4:34:42.1,72.93957562396797,1.589,2021-10-19
61,2,오후 4:34:47.1,67.00784572726687,1.62,2021-10-19
62,2,오후 4:34:52.1,69.11937724252256,1.651,2021-10-19
63,2,오후 4:34:57.1,68.12181233844662,1.517,2021-10-19
64,2,오후 4:35:02.1,72.96449388880775,1.7274153122296976,2021-10-19
65,2,오후 4:35:07.1,66.0864964282445,1.542,2021-10-19
